label,message,cleaned_message
ham,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
ham,ok lar joke wif u oni,ok lar joke wif u oni
spam,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
ham,u dun say earli hor u c alreadi say,u dun say earli hor u c alreadi say
ham,nah think goe usf live around though,nah think goe usf live around though
spam,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
ham,even brother like speak treat like aid patent,even brother like speak treat like aid patent
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,winner valu network custom select receivea prize reward claim call claim code kl valid hour,winner valu network custom select receivea prize reward claim call claim code kl valid hour
spam,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
ham,gonna home soon want talk stuff anymor tonight k cri enough today,gonna home soon want talk stuff anymor tonight k cri enough today
spam,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info
spam,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
ham,search right word thank breather promis wont take help grant fulfil promis wonder bless time,search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,date sunday,date sunday
spam,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,oh k watch,oh k watch
ham,eh u rememb spell name ye v naughti make v wet,eh u rememb spell name ye v naughti make v wet
ham,fine way u feel way gota b,fine way u feel way gota b
spam,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq
ham,serious spell name,serious spell name
ham,go tri month ha ha joke,go tri month ha ha joke
ham,pay first lar da stock comin,pay first lar da stock comin
ham,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
ham,ffffffffff alright way meet sooner,ffffffffff alright way meet sooner
ham,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
ham,lol alway convinc,lol alway convinc
ham,catch bu fri egg make tea eat mom left dinner feel love,catch bu fri egg make tea eat mom left dinner feel love
ham,back amp pack car let know room,back amp pack car let know room
ham,ahhh work vagu rememb feel like lol,ahhh work vagu rememb feel like lol
ham,wait still clear sure sarcast x want live u,wait still clear sure sarcast x want live us
ham,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer
ham,k tell anyth,k tell anyth
ham,fear faint housework quick cuppa,fear faint housework quick cuppa
spam,thank subscript rington uk mobil charg month plea confirm repli ye repli charg,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
ham,yup ok go home look time msg xuhui go learn nd may lesson,yup ok go home look time msg xuhui go learn nd may lesson
ham,oop let know roommat done,oop let know roommat done
ham,see letter b car,see letter b car
ham,anyth lor u decid,anyth lor u decid
ham,hello saturday go text see decid anyth tomo tri invit anyth,hello saturday go text see decid anyth tomo tri invit anyth
ham,pl go ahead watt want sure great weekend abiola,pl go ahead watt want sure great weekend abiola
ham,forget tell want need crave love sweet arabian steed mmmmmm yummi,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,rodger burn msg tri call repli sm free nokia mobil free camcord plea call deliveri tomorrow,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
ham,see,see
ham,great hope like man well endow lt gt inch,great hope like man well endow lt gt inch
ham,call messag miss call,call messag miss call
ham,get hep b immunis nigeria,get hep b immunis nigeria
ham,fair enough anyth go,fair enough anyth go
ham,yeah hope tyler could mayb ask around bit,yeah hope tyler could mayb ask around bit
